abbr;layer;taxon;291;293;295;303;304;305;306;307;314;315;322;279;299;300;301;302;311;312;313;316;317;318;319;320;321;323;324;325;326;327;328;329;308;309;310;23;25;21;22;24;27;28;33;20;280;281;282;283;284;285;286;287;288;289;290;292;294;297;276;274;277;296;298;278;273;269;270;271;272;275;266;267;268;79;80;85;113;114;73;74;75;76;77;78;81;82;83;84;86;87;88;99;100;101;35;36;37;38;49;50;51;60;62;102;103;104;105;106;107;108;109;110;111;112;89;90;91;92;94;95;96;97;98;117;120;122;139;140;142;156;157;158;159;163;164;165;185;26;65;66;160;64;161;162;166;167;168;169;170;171;172;173;174;175;177;183;182;184;176;178;179;180;181;67;68;69;70;199;217;218;71;72;63;29;30;31;32;34;225;226;219;197;198;220;221;222;223;224
acer pseu;sl;Acer pseudoplatanus;.;.;.;+;+;+;.;.;.;+;.;+;+;+;+;+;.;+;.;+;+;+;.;+;.;.;+;+;+;.;.;+;.;.;+;.;.;.;.;.;.;.;.;.;+;+;+;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;+
pinu sylv;sl;Pinus sylvestris;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;+;.;.;.;.;.;.;.;.;.;.;.;+;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;r;r;r;.;.;.;.;.;.;.;.;.;.
sali glab;sl;Salix glabra;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;.;.;.;+;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
pice abie;sl;Picea abies;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;r;.;.;.;r;.;.;+;.;.;.;.;.;.;.;.
sali appe;sl;Salix appendiculata;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
sesl caer;hl;Sesleria albicans;+;+;+;1;1;1;+;+;+;+;+;1;1;2;1;2;2;1;1;+;1;1;1;+;+;.;+;+;+;1;1;1;1;1;2;1;3;+;1;2;.;+;+;+;+;+;+;+;+;1;+;+;1;+;+;+;+;.;+;+;+;+;+;+;+;+;+;.;1;+;2;1;+;+;.;1;.;+;+;1;+;+;+;1;+;+;+;+;1;+;1;1;1;1;+;1;1;1;2;2;1;1;1;1;1;1;+;1;1;1;1;1;1;1;1;1;+;1;1;1;1;+;1;1;1;1;.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;.;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;.;1;1;1;+;2;2;2;2;4;3;2;3;2;5;3;2;1;1;2;+;1;.;.;.;+;+;+;1;+
care mucr;hl;Carex mucronata;1;1;+;1;1;1;+;1;+;2;1;2;1;2;1;2;2;1;1;2;2;2;1;+;+;2;1;+;+;+;1;1;1;1;1;1;+;1;1;2;1;1;+;1;1;1;2;1;1;1;+;+;1;+;1;+;1;+;+;+;+;+;.;+;+;.;+;+;+;+;1;+;+;.;.;.;.;.;.;.;1;+;.;2;1;1;1;1;1;1;1;2;2;+;1;1;2;2;2;2;1;2;1;1;1;1;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;3;2;2;2;2;2;3;2;2;2;2;.;1;+;1;3;3;1;1;1;1;1;1;.;+;2;2;2;.;1;2;2;1;1;1;1;.;1;.;.;+;.;.;2;.;.;2;1;.;+;.;.;.;.;.;.;.;.
camp coch;hl;Campanula cochleariifolia;.;+;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;+;.;+;.;.;.;.;+;+;.;.;+;+;+;.;.;.;.;.;.;.;.;+;+;.;.;+;+;.;+;+;+;+;+;+;.;.;+;+;+;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;+;+;+;.;+;+;+;.;+;+;.;.;.;.;.;.;+;.;.;+;+;1;+;.;.;.;1;1;1;1;+;+;1;+;1;1;1;1;1;1;+;.;.;.;.;.;.;.;.;.;+;.;1;.;+;.;.;+;+;.;1;1;1;.;.;.;.;.;+;1;+;1;1;1;1;.;.;1;1;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;1;.;1;.;+;+;.;+;.;.;.;.;.;.;.;.;.;.
poly cham;hl;Polygala chamaebuxus;.;+;.;.;.;.;.;.;.;+;+;.;+;+;+;.;.;.;.;+;+;+;.;+;+;.;.;.;.;.;+;.;.;.;.;.;1;+;1;1;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;+;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;+;.;.;.;.;r;1;.;.;.;.;+;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;+;+;+;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;+;.;+;+;+;+;+;1;.;+;1;.;1;.;.;.;.;.;.;.;+;.;2;1;.;.;.;.;+
euph sali;hl;Euphrasia salisburgensis;.;.;.;.;.;.;.;.;.;+;.;+;.;.;.;+;.;.;.;+;+;.;+;+;.;+;.;.;.;.;+;+;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;+;.;.;.;.;.;.;.;+;.;.;.;.;.;+;.;+;+;+;+;1;.;.;.;.;.;.;+;+;+;+;1;+;.;+;.;.;.;.;+;.;.;.;.;+;+;+;.;+;.;.;+;.;.;+;.;.;.;1;1;+;.;.;.;.;.;.;.;1;.;.;.;.;+;.;.;+;.;.;.;.;.;.;.;+;+;+;.;+;.;.;.;.;.;.;.;+;.;.;+;+;.;.;.;.;.;+;.;+
